source_id,title,city,state,asking_price,annual_revenue,business_type,description,broker_name,listing_url,bays,sqft,listing_code
cpg-fee-simple-car-wash-in-san-antonio-tx_gptxcw-102,"Fee Simple Car Wash in San Antonio, TX",San Antonio,TX,1500000,,In-Bay Automatic,"AutoBrite Car Wash , a fee-simple , two-bay mini express wash in San Antonio, Texas, positioned on US Highway 87 with immediate access to Loop 410 and a Walmart-anchored retail node . The offering conveys both the operating business and underlying real estate, giving a buyer cash flow , land control , and long-term repositioning flexibility . AutoBrite is an operating car wash today, but the larger thesis is control of a commercially zoned site in a growing San Antonio corridor. The property’s C-3NA General Commercial zoning , 110 feet of frontage , approximately 30,000 VPD corridor exposure and 0.55-acre site create multiple value paths: con",Dylan Price,https://commercialplus.com/fee-simple-car-wash-in-san-antonio-tx_gptxcw-102/,2,,an-antonio-tx_gptxcw-102
cpg-operating-express-car-wash-in-north-texas_gptxcw-101,Operating Express Car Wash in North Texas,Graham,TX,4750000,778000,Tunnel/Conveyor,"the opportunity to acquire a newly built, fee-simple express car wash in Graham, Texas . The offering provides the opportunity to acquire an operating , institutional-quality wash and the underlying real estate in a defensible North Texas market with strong early ramp performance and limited direct express competition . The wash is situated on a 0.85-acre parcel with frontage along TX-16 and exposure to approximately 14,000 vehicles per day . The site features a 110-foot express tunnel , two pay stations , and 14 covered self-serve vacuums. It is positioned within Graham’s TX-16 South retail corridor adjacent to major national retailers, in",Georgina Adkins,https://commercialplus.com/operating-express-car-wash-in-north-texas_gptxcw-101/,,,n-north-texas_gptxcw-101
